"id","contentId","text","cluster","segmentLength"
40,"40 1","and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way",1,38
39,"39 3","two would go cross mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare on saturday and now this mother is on her way to find her son today as ramirez waited for word from the us government",2,53
35,"35 3","pence broke the tie allowing the health care reform effort to pass its first procedural hurdle moderate republican susan collins and lisa murkowski reacted we had two republicans go against us which is very sad i believe now we will over the next week or two come up with plan going to be really really wonderful for the",3,57
29,"29 2","or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large",4,43
26,"26 1","is one of his priorities he did show us that he did demonstrate to us that priority and neighborhood leaders say they arent giving up on councilman",5,26
22,"22 3","and has had several conversations about crime in the area with police but he says problems there go well beyond the bar its very complex around that area were moving that building or that business will not just eliminate crime bottom line he needs more time give him chance only in there less than month but he did say he would work toward doing this and we will hold his feet to the fire why we had meeting with him the other day in statement",6,84
32,"32 3","the bar its very complex around that area were moving that building or that business will not just eliminate crime bottom line he needs more time give him chance only in there less than month but he did say he would work toward doing this and we will hold his feet to the fire why we had meeting with him the other",6,61
22,"22 2","school for inquiry and creativity as soon as she got this letter the superintendent stepped down the texas education agency has been investigating the district since complaints surfaced in february and just learned tea found",7,34
17,"17 3","be more proactive so kids become gang members and they have access to services and the opportunity for good jobs haven for hope and the felony resources are being used to reduce the number at the jail the program is aimed at assisting other courts we first told you about this in may and sheriff salazar says because of this issue karnes county those helping house some of the inmates here monitors are also",8,73
17,"17 2","nine vigil being held in houston for victims of the smuggling tragedy some speakers blame the political climate of the state and the conditions of latin and south america were also learning pyle transportation is now under",9,36
13,"13 4","warm for this time of night lets get out there see where these storms fire up they fired up starting to move toward the north one near one towards the area little bit of signal for hail coming in on some of these this one here as little bit of hail signature but its week moving away from county but we could really use more rain were not seeing much of it coming our way",10,74
13,"13 3","limited to repealing individual and employer mandates and the medical device tax and then the measure would go to conference to cut deal with the house after the procedural vote majority leader mitch mcconnell pledged to keep working to get there and noted democrats struggled with passing we watched similar process seven years ago they had lot of differences were going to sort this out in thoroughly open amendment process and situation where votes can change the built the senate democratic leader tried to convince moderate republicans to oppose this effort be fooled by this ruse vote in favor of the motion to proceed will mean deep cuts to medicaid maybe even deeper than",11,113
19,"19 1","the medical device tax and then the measure would go to conference to cut deal with the house after the procedural vote majority leader mitch mcconnell pledged to keep working to get there and noted democrats struggled with passing we watched similar process seven years ago they had lot of differences were going to sort this out in thoroughly open amendment process and situation where votes can change the built the senate democratic leader tried to convince moderate republicans to oppose this effort be fooled by this ruse vote in",11,89
13,"13 2","first procedural hurdle moderate republican susan collins and lisa murkowski reacted we had two republicans go against us which is very sad i believe now we will over the next week or two come up with plan going to be really really wonderful for the american people arizona senator john mccain returned from his own health care battle with brain cancer to help leadership get to votes mr mccain he received heroic welcome back and noted still plenty of difficult work ahead our health care insurance system is mess we all know it those who support and those who oppose it something has to be done we republicans have looked for way to end it and replace it with something else",12,120
11,"11 3","with chief meteorologist alex garcia winner of the ams award for broadcast meteorology that old high pressure was at work today but you know what it released little bit and there was enough to get these clouds going and little bit later we were watching the buildup further back out and got couple of pulse storms firing up towards western county and some lucky folks are getting some rain lets take look on the world car cam downtown san antonio temperatures were into the s still at stinson really close at and san antonio but still that is too warm for",13,100
11,"11 2","but leadership was able to get past the first hurdle and will have the opportunity to keep working at it to keep campaign promise going back seven years on capitol hill mike emanuel fox news have you heard about wisconsin giving employees the option to actually implant microchip allowing them access throughout the office building it uses radio frequency to attach tags like door or computer the company says the implant is but researchers at are developing better",14,77
10,"10 4","pets anymore going to eliminate the need of you carrying your wallet the implantable technology one company is using on its employees how it works and why the chip may leave people vulnerable money order mayhem that sent lot of red flags and i told my no maam cash it what con artists are doing to rip peel off and why the counterfeits are so hard to spot one step closer to being repealed our health care insurance system is mess the senator who defied all odds to cast his vote and the hurdle still standing in the way of new health care law and two storms out toward the western county area well",15,113
20,"20 2","people vulnerable money order mayhem that sent lot of red flags and i told my no maam cash it what con artists are doing to rip peel off and why the counterfeits are so hard to spot one step closer to being repealed our health care insurance system is mess the senator who defied all odds to",15,56
22,"22 4","did show us that he did demonstrate to us that priority and neighborhood leaders say they arent giving up on councilman shaw they are trying to be patient and give him more time they hope to follow up with him in couple of months with another progress report live tonight in the newsroom trotter fox news at nine its not just for pets anymore going to eliminate the need of you carrying your wallet the",15,74
25,"25 2","using on its employees how it works and why the chip may leave people vulnerable money order mayhem that sent lot of red flags and i told my no maam cash it what con artists are doing to rip peel off and why the counterfeits are so hard to spot one step closer to being repealed our health care insurance system is mess the senator who defied all odds to cast his vote and the hurdle still standing in the way of new health care law and two storms out toward the western county area well show you where they are where they are going and how many more you will see tomorrow from the terrific alert desk in washington president trump has refused to sign off on plan to send more troops to afghanistan it is reported that trump sent the plan calling for modest number of more troops back to his national security advisor last week when president trump was asked about sending more troops he said well see us army soldier who was pictured kissing the isis flag has pleaded not guilty to supporting the",15,187
35,"35 2","priority and neighborhood leaders say they arent giving up on councilman shaw they are trying to be patient and give him more time they hope to follow up with him in couple of months with another progress report live tonight in the newsroom trotter fox news at nine its not just for pets anymore going to eliminate the need of you carrying your wallet the implantable technology one company is using on its employees how it works and why the chip may leave people vulnerable money order mayhem that sent lot of red flags and i told my no maam cash it what con artists are doing to rip peel off and why the counterfeits are so hard to",15,118
45,"45 1","why the chip may leave people vulnerable money order mayhem that sent lot of red flags and i told my no maam cash it what con artists are doing to rip peel off and why the counterfeits are so hard to spot one step closer to being repealed our health care insurance system is mess the senator who defied",15,58
10,"10 3","superintendent stepped down the texas education agency has been investigating the district since complaints surfaced in february and just learned tea found quote the charter school failed to protect the health safety or welfare of the students and that includes improper food handling in the cafeteria the agency was operating several unapproved sites",16,52
10,"10 2","at baptist health hospitals however there are more patients at other hospitals we are now hearing from the mother of one of the victims she is waiting in new way low laredo for us authorities to grant her visa to see her son in san antonio virgin explains he was trying to get to chicago or colorado to help his family get back home maria says she allowed her son to come to the united states with his year uncle the two would go cross mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare on saturday and now this mother is on her way to find her son today as ramirez waited for word from the us government to see if her humanitarian visa would be approved or not she spoke to newspaper from new way low laredo she told them her son",17,159
39,"39 2","fox we have an update on the victims of the horrific human smuggling truck tragedy there are three still at baptist health hospitals however there are more patients at other hospitals we are now hearing from the mother of one of the victims she is waiting in new way low laredo for us authorities to grant her visa to see her son in san antonio virgin explains he was trying to get to chicago or colorado to help his family get back home maria",17,83
7,"7 2","reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells me arrests are up due to the work of the violent crimes task force its program that goes after gang members drugs and weapons they are arresting close to individuals month more than were generally coming in the system its probably time to really look at longterm plan on what we need to do to be more proactive so kids become gang members and they have access to services and the opportunity for good jobs haven for hope and the felony resources are being used to reduce the number at the jail the",18,133
6,"6 4","officer runs out of the way just in time decides the driver he was dealing with is mall potatoes hands him back his license and says get out of here manual good and chases after the driver he did catch up to the driver and placed him under arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed russell cause of death not clear the texas rangers are now helping with",19,83
47,"47 1","arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed russell cause of death not clear the texas rangers are now helping with the investigation this is only the second murder of the entire year in fayette county both taking place this month the texas education",19,58
21,"21 1","potatoes hands him back his license and says get out of here manual good and chases after the driver he did catch up to the driver and placed him under arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed russell cause of death not clear the texas rangers are now helping with the investigation this is only the second murder of the entire year in fayette county both taking place this month the texas education agency temporarily suspending local charter school just few weeks before classes start we reported before on problems at the san antonio school for inquiry and creativity that have caught the teas attention michael locklear joins us with the concerns and the next steps parents are wondering what to do with school so close to starting the tea sent this",20,147
22,"22 1","agency temporarily suspending local charter school just few weeks before classes start we reported before on problems at the san antonio school for inquiry and creativity that have caught the teas attention michael locklear joins us with the concerns and the next steps parents are wondering what to do with school so close to starting the tea sent this letter to the district",20,62
39,"39 4","in fayette county both taking place this month the texas education agency temporarily suspending local charter school just few weeks before classes start we reported before on problems at the san antonio school for inquiry and creativity that have caught the teas attention michael locklear joins us with the concerns and the next steps parents are wondering what to do with school so close to starting the tea",20,67
6,"6 2","to brazilians to and the chinese pay the highest price at to to get to the united states now that mother was granted humanitarian visa and is on her way to san antonio her son earlier today woke up from his coma his uncle is now out of the hospital and in custody in the meantime homeland security investigations is asking for anyone that has any information to come forward and call their anonymous tip line because every victim will be need to do find every single person who took part of this smuggling ring virgin fox news at nine vigil being held in houston for victims of the smuggling tragedy some speakers blame the political climate of the state and the conditions of latin and south america were also learning pyle transportation is now under investigation the company linked to the truck where the immigrants were found however the owner brian pyle said he had no idea",21,157
7,"7 1","being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of",22,88
29,"29 1","the company linked to the truck where the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates",22,92
31,"31 2","to do find every single person who took part of this smuggling ring virgin fox news at nine vigil being held in houston for victims of the smuggling tragedy some speakers blame the political climate of the state and the conditions of latin and south america were also learning pyle transportation is now under investigation the company linked to the truck where the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large",22,231
41,"41 1","pyle transportation is now under investigation the company linked to the truck where the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average",22,107
6,"6 1","up in local hospital she tells the newspaper that her son just wanted to financially help his family ramirez was coming to the states to work and raise enough money to be able to marry his girlfriend and allegedly go back to his hometown the family also says that cerna and his uncle allegedly paid to coyotes to get on the trailer that price according to border control forces who provided fox san antonio with previous pictures of cases is higher than what is normally charged the",23,86
13,"13 1","in search of quality of life in the united states but on saturday night her sons mile trip to san antonio texas took deadly turn as close as people being smuggled in this trailer were exposed to high temperatures and no air for hours leaving ten dead and others hospitalized among them her son and his year uncle whom both ended up in local hospital she tells the newspaper that her son just wanted to financially help his family ramirez was coming to the states to work and raise enough money to be able to marry his girlfriend and allegedly go back to",24,102
31,"31 1","her son today as ramirez waited for word from the us government to see if her humanitarian visa would be approved or not she spoke to newspaper from new way low laredo she told them her son had left with his uncle in search of quality of life in the united states but on saturday night her sons mile trip to san antonio texas took deadly turn as close as people being smuggled in this trailer were exposed to high temperatures and no air for hours leaving ten dead and others hospitalized among them her son and his year uncle whom both ended up in local hospital she tells the newspaper that her son just wanted to financially help his family ramirez was coming to the states to work and raise enough money to be able to marry his girlfriend and allegedly go back",24,143
4,"4 2","say something i do hold me accountable records show officers have been called to times this year including suspicious person with gun and two drug calls this is what we were talking about been pastor of this church for years and seen this seen progress and seen things that take place that maybe the police even called about saw says he set up meeting with the business owner and has had several conversations about crime in the area with police but he says problems there go well beyond the bar its very complex around that area were moving that building or that business will not just eliminate crime bottom line he needs more time give him chance only in there less than month but he did say he would work toward doing this and we will hold his feet to the fire why we had meeting with him the other day in statement spokesperson says officers are working with community leaders church and advocacy groups to address the issues that have plagued the area i would like to hear something more definitive how are you working on it what are you doing what kind of timetable do you have when asked about progress at this early stage",25,206
16,"16 2","ago community leaders called meeting for update hold me accountable if i say something i do hold me accountable records show officers have been called to times this year including suspicious person with gun and two drug calls this is what we were talking about been pastor of this church for years and seen this seen progress and seen things that take place that maybe the police even called about saw says he set up meeting with the business owner and has had several conversations about crime in the area with police but he says problems there go well beyond the bar its very complex around that area were moving that building or that business will not just eliminate crime bottom line he needs more time give him chance only in there less than month but he did say he would work toward doing this and we will hold his feet to the fire why we had meeting with him the other day in statement spokesperson says officers are working with community leaders church and advocacy groups to address the issues that have plagued the area i would like to hear something more definitive how are you working on it what are you doing what kind of timetable do you have when asked about progress at this early stage im satisfied that this is one of his priorities",25,227
42,"42 2","they call lip service back in march they met with former councilman alan warrick and three of his opponents about crime four months and new councilman later they say it appears nothing has been done were speaking up for the neighborhood the kind of neighborhood we want our children to grow up in the pastor leads the charge in newly elected councilman shaw accountable he hosted forum at his church shaw was one of three candidates who promised if elected to tackle crime near place bar days ago community leaders called meeting for update hold me accountable if i say something i do hold me accountable records show officers have been called to times this year including suspicious person with gun and two drug calls this is what we were talking about been pastor of this church for years and seen this seen progress and seen things that take place that maybe the police even called about saw says he set up meeting with the business owner and has had several conversations about crime in the area with police but he says problems there go well beyond the bar its very complex around that area were moving that building or that business will not just",25,204
43,"43 3","councilman alan warrick and three of his opponents about crime four months and new councilman later they say it appears nothing has been done were speaking up for the neighborhood the kind of neighborhood we want our children to grow up in the pastor leads the charge in newly elected councilman shaw accountable he hosted forum at his church shaw was one of three candidates who promised if elected to tackle crime near place bar days ago community leaders called meeting for update hold me accountable if i say something i do hold me accountable records show officers have been called to times this year including suspicious person with gun and two drug calls this is what we were",25,118
44,"44 3","opponents about crime four months and new councilman later they say it appears nothing has been done were speaking up for the neighborhood the kind of neighborhood we want our children to grow up in the pastor leads the charge in newly elected councilman shaw accountable he hosted forum at his church shaw was one of three candidates who promised if elected to tackle crime near place bar days ago community leaders called meeting for update hold me accountable if i say something i do hold me accountable records show officers have been called to times this year including suspicious person with gun and two drug calls this is what we were talking about been pastor of this church for years and seen this seen progress and seen things that take place that maybe the police even called about saw says he set up meeting with the business owner and has had several conversations about crime in the area with police but he says problems there go well beyond the bar its very complex around that area were moving that building or that business will not just eliminate crime bottom line he needs more time give him chance only in there less than month but he did say he would work toward doing this and we will hold his feet to the fire why we had meeting with him the other day in statement spokesperson says officers are working with community leaders church and advocacy groups to address the issues that have plagued the area i would like to hear something more definitive how are you working on",25,267
47,"47 2","call lip service back in march they met with former councilman alan warrick and three of his opponents about crime four months and new councilman later they say it appears nothing has been done were speaking up for the neighborhood the kind of neighborhood we want our children to grow up in the pastor leads the charge in newly elected councilman shaw accountable he hosted forum at his church shaw was one of three candidates who promised if elected to tackle crime near place bar days ago community leaders called meeting for update hold me accountable if i say something i do hold me accountable records show officers have been called to times this year including suspicious person with gun and two drug calls this is what we were talking about been pastor of this church for years and seen this seen progress and seen things that take place that maybe the police even called about saw says he set up meeting with the business owner and has had several conversations about crime in the area with police but he says problems there go well beyond the bar its very complex around that area were moving that building or that business will not just eliminate crime bottom line he needs more time give him chance only in there",25,217
