"id","contentId","text","cluster","segmentLength"
11,"11 1","but he says problems there go well beyond the bar its very complex around that area were moving that building or that business will not just eliminate crime bottom line he needs more time give him chance only in there less than month but he did say he would work toward doing this and we will hold his feet to the fire why we had meeting with him the other day in statement spokesperson says officers are working with community leaders church and advocacy groups to address the issues that have plagued the area i would like to hear something more definitive how are you working on it what are you doing what kind of timetable do you have when asked about progress at this early stage im satisfied that this is one of his priorities he did show us that he did demonstrate to us that priority and neighborhood leaders say they arent giving up on councilman shaw they are trying to be patient and give him more time they hope to follow up with him in couple of months with another progress report live tonight in the newsroom trotter fox news at nine its not just for pets anymore going to eliminate the need of you carrying your wallet the implantable technology one company is using on its employees how it works and why the chip may leave people vulnerable money order mayhem that sent lot of red flags and i told my no maam cash it what con artists are doing to rip peel off and why the counterfeits are so hard to spot one step closer to being repealed our health care insurance system is mess the senator who defied all odds to cast his vote and the hurdle still standing in the way of new health care law and",26,303
4,"4 1","laughs its perfectly cooked its beauty absolutely amazing wow they knocked it out of the park with this one it is gonna change the game definitely the new sandwich and the new grilled chicken sandwich double amazing laughs after his first month in office william shaw facing tough questions from voters shaw promised if elected he would address crime centered around bar trotter has reaction from the newly elected councilman being called to task",27,73
6,"6 5","sandwich this is beautiful yum this right here its game changer new taste new style its just amazing across the board that is pretty sandwich ooh its its sweet oh my gosh its so good laughs its perfectly cooked its beauty absolutely amazing wow they knocked it out of the park with this one it is gonna change the game definitely the new sandwich and the new grilled chicken sandwich double amazing laughs after his first month in office william shaw facing tough questions from voters shaw promised if elected he would address crime centered around bar trotter has reaction from the newly elected councilman being called to task neighborhood leaders tell me they are tired of what they call lip service back in march they met with former councilman alan warrick and three of his opponents about crime four months and new councilman later they say it appears nothing has been done were speaking up for the neighborhood the",27,159
16,"16 1","its sweet oh my gosh its so good laughs its perfectly cooked its beauty absolutely amazing wow they knocked it out of the park with this one it is gonna change the game definitely the new sandwich and the new grilled chicken sandwich double amazing laughs after his first month in office william shaw facing tough questions from voters shaw promised if elected he would address crime centered around bar trotter has reaction from",27,73
42,"42 1","its sweet oh my gosh its so good laughs its perfectly cooked its beauty absolutely amazing wow they knocked it out of the park with this one it is gonna change the game definitely the new sandwich and the new grilled chicken sandwich double amazing laughs after his first month in office william shaw facing tough questions from voters shaw promised if elected he would address",27,65
43,"43 2","back in today at were cooking the new sandwich and the new grilled chicken sandwich this is beautiful yum this right here its game changer new taste new style its just amazing across the board that is pretty sandwich ooh its its sweet oh my gosh its so good laughs its perfectly cooked its beauty absolutely amazing wow they knocked it out of the park with this one it is gonna change the game definitely the new sandwich and the new grilled chicken sandwich double amazing laughs after his first month in office william shaw facing tough questions from voters shaw promised if elected he would address crime centered around",27,109
3,"3 1","state funding from about students do attend the four schools in this district you can see right now banner saying now enrolling might want to hold off the tea does have hearing with tomorrow and then well learn whether this suspension sticks or the schools are allowed to open again i did speak with district officials who told me student safety is of the utmost importance he also said the district has been working",28,73
14,"14 1","last friday tea suspended operations and started withholding state funding from about students do attend the four schools in this district you can see right now banner saying now enrolling might want to hold off the tea does have hearing with tomorrow and then well learn whether this suspension sticks or the schools are allowed to open again i did speak with district officials who told me student",28,67
50,"50 1","banner saying now enrolling might want to hold off the tea does have hearing with tomorrow and then well learn whether this suspension sticks or the schools are allowed to open again i did speak with district officials who told me student safety is of the utmost importance he also said the district has been working to turn things",28,58
14,"14 2","unsubstantiated according to the district official who is optimistic once this district is able to present its case to tea the schools should be able to open august live north of downtown michael locklear fox news at nine if i say something that i do hold me accountable holding his feet to the fire how an east side church wants",29,59
44,"44 2","the schools are allowed to open again i did speak with district officials who told me student safety is of the utmost importance he also said the district has been working to turn things around and all those allegations have either been addressed or unsubstantiated according to the district official who is optimistic once this district is able to present its case to tea the schools should be able to open august live north of downtown michael locklear fox news at nine if i say something that i do hold me",29,90
32,"32 2","quote substantial risk effective last friday tea suspended operations and started withholding state funding from about students do attend the four schools in this district you can see right now banner saying now enrolling might want to hold off the tea does have hearing with tomorrow and then well learn whether this suspension sticks or the schools are allowed to open again i did speak with district officials who told me student safety is of the utmost importance he also said the district has been working to turn things around and all those allegations have either been addressed or unsubstantiated according to the district official who is optimistic once this district is able to present its case to tea the schools should be able to open august live north of downtown michael locklear fox news at nine if i say something that i do hold me accountable holding his feet to the fire how an east side church wants accountability when it comes to campaign promise on crime fox news at nine is back in today at were cooking the new sandwich and the new grilled chicken sandwich this is beautiful yum this right here its game changer new taste new style",30,201
2,"2 1","about this in may and sheriff salazar says because of this issue karnes county those helping house some of the inmates here monitors are also an option were going to continue following this story and bring you the latest reporting downtown fox news at nine robert price at the live desk with some incredible video being released lie police in dallas pay attention to the red circle driver headed for the officers he shines his flashlight realizes the car is not going to stop so the officer runs out of the way just in time decides the driver he was dealing with is mall potatoes hands him back his license and says get out of here manual good and chases after the driver he did catch up to the driver and placed him under arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed russell cause of death not clear the texas rangers are now helping with the investigation this is only the",31,175
6,"6 3","become gang members and they have access to services and the opportunity for good jobs haven for hope and the felony resources are being used to reduce the number at the jail the program is aimed at assisting other courts we first told you about this in may and sheriff salazar says because of this issue karnes county those helping house some of the inmates here monitors are also an option were going to continue following this story and bring you the latest reporting downtown fox news at nine robert price at the live desk with some incredible video being released lie police in dallas pay attention to the red circle driver headed for the officers he shines his flashlight realizes the car is not going to stop so the officer runs out of the",31,134
41,"41 2","need to do to be more proactive so kids become gang members and they have access to services and the opportunity for good jobs haven for hope and the felony resources are being used to reduce the number at the jail the program is aimed at assisting other courts we first told you about this in may and sheriff salazar says because of this issue karnes county those helping house some of the inmates here monitors are also an option were going to continue following this story and bring you the latest reporting downtown fox news at nine robert price at the live desk with some incredible video being released lie police in dallas pay attention to the red circle driver headed for the officers he shines his flashlight realizes the car is not going to stop so the officer runs out of the way just in time decides the driver he was dealing with is mall potatoes hands him back his license and says get out of here manual good and chases after the driver he did catch up to the driver and placed him under arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed russell cause of death not clear the texas rangers are now helping with the investigation this is only the second murder of the entire year in fayette county both taking place this month the texas education agency temporarily suspending local charter",31,250
1,"1 3","problems we all have them the first step to dealing with problem is admitting it exists it seems that the democrats are taking that first step when you lose an election with someone who has popularity you look in the mirror and say what did we do wrong and the number one thing that we did wrong is we tell people what we stood for the democrats do appear to be learning from their losses in the presidential election they understand that they have largely fallen out of touch with the american people recent poll found that only of americans think the democrat part stands for something says it just stands against president trump what is the democratic party to do apparently it is time for senators announce new plan better deal better jobs better inch with better future yes the slogan may remind you of popular pizza chain better ingredients better pizza papa johns there are unique policy proposals creating million jobs through apprenticeship programs lowering prescription drug prices there are some strong issues to focus on the trump administration is already working on some of them last month president trump signed an executive order to substantially increase the number of apprenticeships in the united states the administration is also working on plans to address the high cost of prescription drugs slogans are great but democrats need to connect with american people by action not words movement on agenda items where the democrats actually agree with the white house would be good start some parts of the democrat better deal line up with the policies of the white house so we can actually hope for concrete",32,276
1,"1 2","president trump has refused to sign off on plan to send more troops to afghanistan it is reported that trump sent the plan calling for modest number of more troops back to his national security advisor last week when president trump was asked about sending more troops he said well see us army soldier who was pictured kissing the isis flag has pleaded not guilty to supporting the group he was indicted last friday court documents claim he met with undercover agents he believed were part of the terror group he allegedly provided them with classified military information drone military equipment and training and kansas city man who tried to set off what he thought was bomb at an army post isis was sentenced to years in federal prison he was arrested outside the fort when he made the final connections on the device he believed would arm it fort riley is the home of the first infantry division from the terrorism alert desk in washington im",33,166
7,"7 3","arm it fort riley is the home of the first infantry division from the terrorism alert desk in washington im lindsay this is fox news at nine it came down to the wire with the return of senator john mccain but the vice president broke tie and the senate will move forward tonight on health care reform we have",33,58
9,"9 1","fort riley is the home of the first infantry division from the terrorism alert desk in washington im lindsay this is fox news at nine it came down to the wire with the return of senator john mccain but the vice president broke tie and the senate will move forward tonight on health care reform we have the latest on the vote on this vote the are and the nays the senate being equal divided the vice president votes in the affirmative and the motion is agreed to mike pence broke the tie allowing the health care reform effort to pass its first procedural hurdle moderate republican",33,106
25,"25 3","met with undercover agents he believed were part of the terror group he allegedly provided them with classified military information drone military equipment and training and kansas city man who tried to set off what he thought was bomb at an army post isis was sentenced to years in federal prison he was arrested outside the fort when he made the final connections on the device he believed would arm it fort riley is the home of the first infantry division from the terrorism alert desk in washington im lindsay this is fox news at nine it came down to the wire with the return of senator john mccain but the vice president broke tie and the senate will move forward tonight on health care reform we have the latest on the vote on this vote the are and the nays the senate being equal divided the vice president votes in",33,150
29,"29 3","claim he met with undercover agents he believed were part of the terror group he allegedly provided them with classified military information drone military equipment and training and kansas city man who tried to set off what he thought was bomb at an army post isis was sentenced to years in federal prison he was arrested outside the fort when he made the final connections on the device he believed would arm it fort riley is the home of the first infantry division from the terrorism alert desk in washington im lindsay this is fox news at nine it came down",33,100
1,"1 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank job yep we realized we never checked the daughters alibi she at the softball trip she had access to the plans and then she just confessed right we arrested woman today because we are feminists so does this mean you like each other now yep still out matter it only matters what amy thinks and apparently she loves you i do the first time ever kissed yeah the wire fox boys are back yeah i just won grand so rosa pack your bags were going to tampa tight cant wait guys im out of not doctor",34,231
5,"5 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not",34,109
8,"8 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy",34,106
10,"10 1","terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank job yep we realized we never checked the daughters alibi she at the softball trip she had",34,127
12,"12 1","turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in",34,80
17,"17 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank job yep we realized we never checked the daughters alibi she at the softball trip she had access to the plans and then she just confessed right we arrested woman today because we are feminists so does this mean you like each other now yep still out matter it only matters what amy thinks and apparently she loves you i do the first time ever kissed yeah the wire fox boys are back yeah i just won grand so rosa pack your bags were going to tampa tight cant wait",34,225
20,"20 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank job yep we realized we never checked the daughters alibi she at the softball trip she had access to the plans and then she just confessed right we arrested woman today because we are feminists so does this mean you like each other now yep still out matter it only matters what amy thinks and apparently she loves you i do the first time ever kissed yeah the wire fox boys are back yeah i just won grand so rosa pack your bags were going to tampa tight cant wait guys im out of not doctor an investigation see only on fox news",34,238
24,"24 1","the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank job yep we realized we never checked the",34,137
25,"25 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up",34,87
27,"27 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this",34,74
32,"32 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank job yep we realized we never checked the daughters alibi she at the softball trip she had access to the plans and then she just confessed right we arrested woman today because we are feminists so does this mean you like each other now yep still out matter it only matters what amy thinks and apparently she loves you i do the first time ever kissed yeah the wire fox boys are back yeah i just won grand so rosa pack your bags were going to tampa tight cant wait guys im out of not doctor an investigation see only on fox news",34,238
35,"35 1","were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not",34,99
36,"36 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up",34,87
37,"37 1","shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank job yep we realized we never",34,106
39,"39 1","shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank",34,100
43,"43 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank job yep we realized we never checked the daughters alibi she at the softball trip she had access to the plans and then she just confessed right we arrested woman today because we are feminists so does this mean you like each other now yep still out matter it only matters what amy thinks and apparently she loves you i do the first time ever kissed yeah the wire fox boys are back yeah i just won grand so rosa pack your bags were going to tampa tight cant wait guys im out of not doctor an investigation see only on fox news",34,238
44,"44 1","yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank job yep we realized we never checked the daughters alibi she at the softball trip she had access to the plans and then she just confessed right we arrested woman today because we are feminists so does this mean you like each other now yep still out matter it only matters what amy thinks and apparently she loves you i do the first time ever kissed yeah the wire fox boys are back yeah i just won grand so rosa pack your bags were going to tampa",34,131
46,"46 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep",34,91
48,"48 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank job yep we realized we never checked the daughters alibi she at the softball trip she had access to the plans and then she just confessed right we arrested woman today because we are feminists so does this mean you like each other now yep still out matter it only matters what amy thinks and apparently she loves you i do the first time ever kissed yeah the wire fox boys are back yeah i just won grand so rosa pack your bags were going to tampa tight cant wait guys im out of not doctor an investigation see only on fox news",34,238
